Project Type,Team Size,Budget ($k),Duration (months),Stakeholder Count,Methodology Used,Team Experience,Risk Level
CRM System,25,184,21,7,Kanban,Senior,Medium
Web Application,6,81,1,5,Hybrid,Mixed,Low
Data Analytics Platform,6,44,3,10,Agile,Mixed,Low
Cybersecurity Solution,9,174,14,9,Scrum,Junior,High
Data Analytics Platform,6,325,36,10,Scrum,Junior,Medium
IoT Development,13,48,26,7,Scrum,Mixed,Medium
E-Commerce Platform,6,64,28,7,Waterfall,Mixed,Medium
Data Analytics Platform,7,342,11,3,Kanban,Mixed,Medium
Cloud Migration,4,449,34,7,Hybrid,Mixed,High
E-Commerce Platform,3,33,3,5,Agile,Junior,Medium
E-Commerce Platform,7,107,1,5,Waterfall,Junior,Medium
Web Application,5,276,25,7,Agile,Mixed,Medium
Cybersecurity Solution,20,159,25,6,Kanban,Mixed,High
IoT Development,5,22,17,7,Agile,Senior,Medium
E-Commerce Platform,11,233,29,2,Agile,Senior,Medium
E-Commerce Platform,7,122,16,7,Agile,Senior,Low
E-Commerce Platform,12,18,17,9,Waterfall,Senior,Medium
E-Commerce Platform,8,92,36,9,Agile,Senior,Medium
E-Commerce Platform,4,313,7,3,Agile,Mixed,Medium
IoT Development,6,39,20,4,Kanban,Junior,High
E-Commerce Platform,9,272,30,11,Agile,Junior,High
ERP Implementation,7,63,1,8,Kanban,Junior,Medium
AI / ML Project,8,286,11,3,Scrum,Senior,Medium
Cloud Migration,6,139,30,3,Kanban,Junior,High
IoT Development,4,154,28,2,Agile,Junior,High
Mobile App,7,226,10,2,Waterfall,Mixed,Medium
Web Application,18,48,25,3,Kanban,Junior,Medium
Web Application,22,124,8,7,Kanban,Senior,Low
Cybersecurity Solution,4,268,23,8,Waterfall,Senior,High
E-Commerce Platform,2,78,26,5,Waterfall,Senior,High
ERP Implementation,7,68,13,12,Scrum,Senior,Medium
IoT Development,5,128,7,8,Agile,Junior,Medium
Data Analytics Platform,13,1194,27,2,Hybrid,Junior,High
Cybersecurity Solution,4,125,22,5,Agile,Senior,Medium
E-Commerce Platform,6,109,24,10,Hybrid,Senior,Medium
Web Application,4,456,13,9,Hybrid,Junior,Medium
ERP Implementation,4,207,4,5,Waterfall,Senior,Medium
AI / ML Project,5,229,17,10,Waterfall,Junior,High
CRM System,3,464,1,7,Kanban,Junior,Medium
Mobile App,4,22,28,4,Agile,Mixed,Medium
Cloud Migration,2,1739,9,6,Agile,Junior,High
Mobile App,5,348,20,6,Scrum,Mixed,Medium
Data Analytics Platform,6,87,23,6,Scrum,Junior,Medium
CRM System,10,271,5,6,Waterfall,Mixed,Medium
Mobile App,5,356,27,6,Scrum,Senior,Low
Mobile App,4,105,17,7,Agile,Senior,Low
E-Commerce Platform,28,89,34,6,Scrum,Mixed,Medium
CRM System,17,153,9,5,Agile,Junior,Medium
Cloud Migration,17,486,19,5,Waterfall,Junior,High
AI / ML Project,29,165,27,6,Kanban,Junior,High
Mobile App,10,72,16,5,Hybrid,Mixed,Medium
CRM System,6,173,33,6,Kanban,Senior,Medium
Cybersecurity Solution,7,71,1,7,Waterfall,Junior,High
Cybersecurity Solution,5,336,28,6,Hybrid,Junior,High
Data Analytics Platform,8,160,16,4,Kanban,Junior,Medium
Cybersecurity Solution,6,176,16,7,Waterfall,Senior,Medium
Cybersecurity Solution,5,27,35,6,Agile,Junior,High
IoT Development,23,112,6,10,Waterfall,Junior,High
Web Application,11,113,13,3,Hybrid,Junior,Medium
Data Analytics Platform,5,311,30,2,Waterfall,Senior,Medium
ERP Implementation,6,10,12,5,Hybrid,Mixed,Medium
CRM System,4,899,28,8,Agile,Junior,High
IoT Development,6,296,32,2,Kanban,Senior,Medium
Cloud Migration,6,206,29,2,Scrum,Senior,Medium
CRM System,9,56,30,10,Scrum,Senior,Medium
E-Commerce Platform,4,70,3,4,Agile,Mixed,Low
ERP Implementation,7,288,24,4,Agile,Senior,Medium
Cloud Migration,10,50,3,8,Scrum,Junior,Medium
AI / ML Project,8,264,21,5,Kanban,Mixed,High
ERP Implementation,18,498,35,2,Agile,Senior,Medium
CRM System,6,75,32,7,Scrum,Mixed,Medium
E-Commerce Platform,8,78,7,4,Kanban,Senior,Low
Cloud Migration,10,197,14,6,Hybrid,Senior,Medium
Mobile App,4,107,36,8,Kanban,Mixed,Medium
E-Commerce Platform,7,22,32,7,Agile,Senior,Medium
IoT Development,2,164,13,1,Hybrid,Senior,Medium
Mobile App,20,128,33,1,Scrum,Junior,Medium
Web Application,6,208,3,8,Kanban,Mixed,Low
AI / ML Project,5,120,8,3,Scrum,Mixed,Medium
AI / ML Project,7,527,19,4,Kanban,Mixed,High
E-Commerce Platform,6,181,30,4,Waterfall,Junior,High
ERP Implementation,17,330,7,3,Hybrid,Mixed,Medium
ERP Implementation,8,613,7,3,Hybrid,Junior,High
Mobile App,6,133,14,8,Agile,Senior,Low
IoT Development,3,207,18,5,Hybrid,Junior,High
IoT Development,15,190,7,5,Waterfall,Junior,High
IoT Development,21,162,1,8,Waterfall,Senior,Medium
IoT Development,7,53,28,9,Agile,Mixed,Medium
AI / ML Project,5,121,1,4,Hybrid,Junior,Medium
Cybersecurity Solution,25,713,26,3,Waterfall,Mixed,High
Cloud Migration,4,224,29,5,Kanban,Junior,High
Cybersecurity Solution,4,98,36,9,Agile,Junior,High
Cybersecurity Solution,26,49,34,4,Hybrid,Senior,Medium
AI / ML Project,9,212,19,7,Waterfall,Senior,High
E-Commerce Platform,12,135,34,7,Scrum,Mixed,Medium
IoT Development,9,475,23,7,Agile,Junior,High
Web Application,5,101,12,9,Scrum,Mixed,Medium
Web Application,13,165,1,6,Hybrid,Mixed,Low
Mobile App,5,52,5,4,Waterfall,Mixed,Medium
ERP Implementation,4,46,3,6,Kanban,Mixed,Low
AI / ML Project,3,99,19,4,Scrum,Junior,High
AI / ML Project,8,62,26,5,Waterfall,Mixed,High
Web Application,3,34,36,4,Kanban,Junior,High
CRM System,11,115,33,2,Hybrid,Junior,Medium
E-Commerce Platform,24,79,21,5,Waterfall,Senior,High
Cybersecurity Solution,14,40,24,4,Waterfall,Mixed,High
Web Application,2,38,16,8,Waterfall,Mixed,High
Mobile App,5,119,25,8,Scrum,Senior,Medium
Cloud Migration,4,114,13,5,Hybrid,Mixed,Medium
IoT Development,4,83,20,8,Scrum,Junior,High
Cybersecurity Solution,25,229,17,8,Hybrid,Mixed,High
AI / ML Project,3,92,26,8,Waterfall,Mixed,High
Cloud Migration,8,510,13,6,Scrum,Mixed,Medium
Mobile App,8,107,1,8,Hybrid,Senior,Low
Mobile App,4,200,11,8,Waterfall,Junior,High
Web Application,6,248,20,8,Waterfall,Junior,High
Mobile App,6,78,36,4,Hybrid,Senior,Medium
E-Commerce Platform,3,30,25,3,Agile,Junior,High
Mobile App,18,234,6,4,Agile,Senior,Medium
IoT Development,7,239,17,5,Kanban,Junior,Medium
Web Application,25,54,33,10,Hybrid,Junior,High
Mobile App,28,109,33,5,Waterfall,Mixed,High
Mobile App,11,26,10,11,Hybrid,Mixed,Medium
AI / ML Project,5,113,20,5,Scrum,Mixed,Medium
ERP Implementation,8,499,32,4,Agile,Senior,Medium
CRM System,7,210,12,5,Waterfall,Junior,High
IoT Development,7,445,14,15,Agile,Senior,Medium
E-Commerce Platform,4,420,3,3,Scrum,Senior,Low
Mobile App,8,240,22,6,Kanban,Senior,Medium
Data Analytics Platform,28,256,21,3,Kanban,Mixed,High
CRM System,6,250,35,10,Hybrid,Mixed,Medium
CRM System,10,212,18,4,Agile,Junior,Medium
Cloud Migration,7,179,8,7,Hybrid,Senior,Medium
Mobile App,2,325,2,4,Hybrid,Senior,Medium
Data Analytics Platform,7,514,23,3,Agile,Senior,Medium
Mobile App,6,509,25,5,Waterfall,Mixed,High
Web Application,8,30,12,7,Agile,Junior,Medium
Data Analytics Platform,12,589,21,5,Scrum,Mixed,High
Data Analytics Platform,10,94,10,5,Scrum,Junior,Medium
IoT Development,9,52,24,4,Agile,Senior,Medium
Cybersecurity Solution,7,211,4,4,Kanban,Mixed,Medium
Cloud Migration,3,85,9,12,Scrum,Senior,Medium
ERP Implementation,7,232,21,12,Kanban,Junior,High
ERP Implementation,9,14,31,8,Agile,Mixed,High
E-Commerce Platform,14,421,36,6,Scrum,Senior,Medium
Cybersecurity Solution,6,69,23,3,Agile,Mixed,Medium
Data Analytics Platform,9,451,6,3,Waterfall,Mixed,Medium
E-Commerce Platform,10,34,32,10,Agile,Senior,Medium
Cloud Migration,5,398,33,5,Kanban,Senior,Medium
Mobile App,11,718,6,7,Agile,Mixed,Medium
Mobile App,25,2000,18,6,Waterfall,Junior,High
Web Application,17,411,17,5,Scrum,Junior,Medium
Cloud Migration,2,68,33,6,Waterfall,Mixed,High
Cybersecurity Solution,6,154,20,5,Scrum,Mixed,Medium
Cloud Migration,7,570,26,5,Waterfall,Senior,High
Mobile App,8,131,22,7,Hybrid,Mixed,Medium
Data Analytics Platform,9,116,10,11,Agile,Mixed,Medium
Cybersecurity Solution,6,203,8,4,Scrum,Senior,Medium
IoT Development,5,123,3,3,Waterfall,Mixed,Medium
Cloud Migration,5,67,30,10,Hybrid,Junior,High
Web Application,3,349,33,2,Scrum,Senior,Medium
E-Commerce Platform,3,107,25,7,Agile,Mixed,Medium
Data Analytics Platform,6,248,36,7,Scrum,Junior,Medium
AI / ML Project,15,562,16,7,Hybrid,Senior,High
AI / ML Project,6,267,27,7,Scrum,Senior,Medium
E-Commerce Platform,3,75,9,7,Waterfall,Senior,Medium
Web Application,6,56,14,2,Agile,Junior,Medium
Data Analytics Platform,3,409,30,6,Waterfall,Junior,High
Web Application,3,39,16,8,Kanban,Mixed,Medium
Data Analytics Platform,21,778,21,2,Waterfall,Senior,High
Mobile App,6,67,5,12,Hybrid,Junior,Medium
AI / ML Project,10,218,13,3,Scrum,Mixed,Medium
E-Commerce Platform,28,49,27,4,Waterfall,Junior,High
Cloud Migration,6,25,25,5,Scrum,Junior,Medium
ERP Implementation,2,67,21,4,Agile,Mixed,High
Cloud Migration,6,326,10,2,Kanban,Mixed,Medium
Web Application,7,717,34,7,Waterfall,Junior,High
Cybersecurity Solution,5,112,14,2,Kanban,Mixed,Medium
Cloud Migration,6,152,25,7,Agile,Junior,High
IoT Development,4,396,13,8,Waterfall,Junior,High
ERP Implementation,5,165,33,2,Hybrid,Mixed,Medium
ERP Implementation,2,104,22,5,Waterfall,Senior,High
CRM System,3,288,33,4,Scrum,Mixed,High
Web Application,8,676,7,9,Agile,Mixed,Medium
Mobile App,6,125,6,6,Agile,Senior,Low
Web Application,11,90,14,3,Kanban,Mixed,Low
CRM System,23,96,16,4,Kanban,Junior,Medium
CRM System,21,95,9,8,Agile,Mixed,Medium
Mobile App,4,102,2,5,Waterfall,Junior,Medium
AI / ML Project,24,74,30,7,Hybrid,Junior,High
Cybersecurity Solution,24,213,34,7,Kanban,Junior,High
ERP Implementation,5,342,17,4,Waterfall,Junior,High
Cloud Migration,7,208,36,6,Hybrid,Mixed,Medium
CRM System,7,43,1,4,Hybrid,Senior,Low
Cloud Migration,5,52,28,3,Scrum,Mixed,Medium
IoT Development,18,116,6,5,Scrum,Junior,Medium
IoT Development,3,209,3,7,Hybrid,Senior,Medium
IoT Development,4,100,35,6,Kanban,Senior,Medium
AI / ML Project,2,84,18,7,Scrum,Junior,High
Cloud Migration,5,125,22,6,Kanban,Senior,Medium
Web Application,13,99,34,3,Agile,Mixed,Medium
Data Analytics Platform,5,79,3,7,Agile,Mixed,Low
CRM System,17,224,16,11,Waterfall,Junior,High
AI / ML Project,7,184,32,5,Scrum,Mixed,Medium
Data Analytics Platform,9,147,5,3,Waterfall,Junior,Medium
E-Commerce Platform,12,151,31,3,Waterfall,Mixed,High
Cybersecurity Solution,9,129,31,10,Scrum,Senior,Medium
ERP Implementation,3,101,30,8,Hybrid,Senior,High
IoT Development,9,115,25,3,Hybrid,Mixed,Medium
AI / ML Project,11,137,16,7,Scrum,Mixed,Medium
Cloud Migration,6,145,13,6,Agile,Junior,Medium
AI / ML Project,7,225,13,7,Kanban,Senior,Medium
IoT Development,10,155,3,5,Kanban,Junior,Medium
E-Commerce Platform,23,183,7,9,Scrum,Senior,Medium
IoT Development,4,173,34,4,Hybrid,Junior,High
Web Application,14,239,9,5,Scrum,Senior,Low
ERP Implementation,6,425,26,8,Scrum,Senior,Medium
ERP Implementation,11,57,18,8,Kanban,Mixed,Medium
AI / ML Project,15,170,17,7,Kanban,Senior,Medium
ERP Implementation,6,758,21,4,Hybrid,Mixed,High
Cloud Migration,3,188,11,2,Waterfall,Mixed,High
Web Application,7,665,4,8,Scrum,Junior,Medium
Data Analytics Platform,6,318,11,10,Hybrid,Senior,Medium
Mobile App,6,91,16,2,Waterfall,Mixed,Medium
Cloud Migration,6,38,8,6,Waterfall,Mixed,Medium
IoT Development,6,204,7,5,Waterfall,Junior,High
Cloud Migration,7,49,17,4,Agile,Mixed,Medium
Cloud Migration,3,153,23,9,Kanban,Senior,Medium
Cybersecurity Solution,8,390,34,6,Agile,Junior,High
Cloud Migration,10,78,21,6,Agile,Senior,Medium
Data Analytics Platform,7,199,15,4,Scrum,Senior,Low
Mobile App,28,318,1,8,Hybrid,Junior,Medium
Web Application,21,91,12,6,Scrum,Mixed,Medium
Data Analytics Platform,15,100,31,4,Scrum,Mixed,Medium
E-Commerce Platform,12,225,13,4,Waterfall,Mixed,High
Cloud Migration,5,191,29,6,Kanban,Mixed,Medium
ERP Implementation,4,257,33,4,Kanban,Mixed,High
IoT Development,17,145,26,7,Kanban,Junior,High
Data Analytics Platform,13,106,2,9,Hybrid,Junior,Medium
E-Commerce Platform,5,261,25,4,Kanban,Junior,Medium
Cloud Migration,2,82,15,8,Hybrid,Junior,High
Cloud Migration,7,271,27,10,Kanban,Senior,Medium
CRM System,8,655,28,4,Kanban,Junior,High
E-Commerce Platform,8,205,17,6,Scrum,Junior,Medium
ERP Implementation,14,281,21,8,Kanban,Mixed,High
IoT Development,5,16,11,7,Kanban,Senior,Low
IoT Development,11,82,30,3,Scrum,Mixed,Medium
E-Commerce Platform,8,141,19,1,Scrum,Mixed,Medium
E-Commerce Platform,3,376,20,5,Scrum,Junior,High
Cybersecurity Solution,7,208,32,1,Waterfall,Mixed,High
Mobile App,3,21,12,8,Agile,Senior,Medium
Cloud Migration,2,359,13,6,Agile,Senior,Medium
Cybersecurity Solution,10,58,19,4,Hybrid,Junior,High
AI / ML Project,5,48,10,1,Kanban,Senior,Low
Cloud Migration,15,18,6,6,Waterfall,Mixed,Medium
ERP Implementation,11,183,1,5,Scrum,Senior,Low
Web Application,6,568,23,1,Scrum,Senior,Medium
CRM System,13,127,8,6,Waterfall,Junior,Medium
Web Application,28,201,5,10,Hybrid,Senior,Medium
Mobile App,5,123,16,8,Hybrid,Senior,Medium
Mobile App,7,100,34,9,Hybrid,Senior,Medium
CRM System,3,146,35,7,Hybrid,Junior,High
Mobile App,13,76,32,8,Kanban,Senior,Medium
Cybersecurity Solution,5,532,19,4,Waterfall,Senior,High
Data Analytics Platform,8,112,31,6,Kanban,Junior,Medium
Cybersecurity Solution,8,559,35,8,Scrum,Junior,High
Data Analytics Platform,28,211,20,6,Agile,Mixed,High
Cloud Migration,21,93,8,7,Waterfall,Mixed,High
AI / ML Project,5,99,25,3,Agile,Junior,High
Mobile App,10,490,24,3,Waterfall,Junior,High
AI / ML Project,7,45,14,6,Waterfall,Senior,Medium
Mobile App,3,171,10,7,Agile,Junior,Medium
Mobile App,10,153,6,4,Scrum,Junior,Medium
Cybersecurity Solution,25,48,2,1,Scrum,Mixed,Medium
Web Application,8,302,30,6,Waterfall,Mixed,Medium
E-Commerce Platform,6,37,20,5,Scrum,Junior,Medium
Data Analytics Platform,7,47,11,9,Kanban,Mixed,Medium
AI / ML Project,2,317,3,5,Scrum,Senior,Medium
AI / ML Project,14,165,18,7,Waterfall,Mixed,High
ERP Implementation,6,256,29,3,Waterfall,Junior,High
ERP Implementation,5,558,8,6,Agile,Junior,High
Cybersecurity Solution,15,157,2,7,Kanban,Junior,Medium
CRM System,11,383,21,11,Scrum,Mixed,Medium
Cloud Migration,13,198,3,6,Waterfall,Senior,Medium
CRM System,6,166,27,5,Hybrid,Senior,Medium
Cloud Migration,10,613,30,5,Scrum,Mixed,High
Mobile App,9,109,3,5,Scrum,Mixed,Low
E-Commerce Platform,2,162,27,8,Agile,Junior,High
Cloud Migration,6,12,8,7,Scrum,Junior,Medium
AI / ML Project,11,449,27,6,Scrum,Junior,High
AI / ML Project,6,187,6,7,Hybrid,Junior,High
AI / ML Project,24,94,34,5,Scrum,Junior,High
IoT Development,9,72,9,5,Agile,Mixed,Medium
CRM System,12,494,32,7,Hybrid,Junior,High
ERP Implementation,5,1032,29,6,Hybrid,Senior,High
Cybersecurity Solution,7,71,32,8,Agile,Mixed,High
Cybersecurity Solution,7,196,10,6,Scrum,Senior,Medium
Mobile App,10,720,33,9,Agile,Senior,Medium
ERP Implementation,3,69,9,6,Hybrid,Senior,Medium
AI / ML Project,4,206,23,8,Hybrid,Mixed,High
ERP Implementation,3,48,6,4,Hybrid,Senior,Medium
Cloud Migration,5,78,32,7,Scrum,Junior,Medium
CRM System,3,223,22,4,Scrum,Mixed,High
AI / ML Project,5,21,28,4,Agile,Senior,Medium
Cybersecurity Solution,2,96,7,11,Kanban,Mixed,High
ERP Implementation,6,66,14,10,Hybrid,Senior,Medium
AI / ML Project,15,94,27,9,Hybrid,Senior,High
AI / ML Project,14,600,31,6,Scrum,Junior,High
Web Application,11,34,1,4,Waterfall,Senior,Low
ERP Implementation,6,111,29,3,Agile,Junior,Medium
Mobile App,8,282,27,3,Scrum,Senior,Low
CRM System,11,399,19,5,Hybrid,Junior,High
Data Analytics Platform,12,42,6,9,Waterfall,Junior,Medium
E-Commerce Platform,5,276,35,7,Scrum,Junior,Medium
Web Application,6,172,19,8,Kanban,Mixed,Medium
Mobile App,2,65,21,4,Waterfall,Senior,High
Mobile App,3,77,7,5,Scrum,Mixed,Medium
AI / ML Project,6,206,25,5,Waterfall,Junior,High
IoT Development,10,22,3,6,Waterfall,Senior,Medium
CRM System,5,479,22,4,Scrum,Junior,Medium
AI / ML Project,10,239,4,10,Kanban,Junior,High
Data Analytics Platform,2,35,6,7,Hybrid,Mixed,Medium
CRM System,11,70,28,5,Hybrid,Junior,High
Data Analytics Platform,4,337,31,7,Agile,Mixed,Medium
Cybersecurity Solution,6,639,8,7,Agile,Junior,High
AI / ML Project,8,101,28,7,Waterfall,Senior,High
Mobile App,24,165,20,9,Agile,Junior,High
ERP Implementation,3,65,12,7,Waterfall,Mixed,High
E-Commerce Platform,5,45,27,10,Kanban,Senior,Medium
Mobile App,18,2000,20,4,Hybrid,Junior,High
Cybersecurity Solution,7,276,23,5,Scrum,Junior,High
Data Analytics Platform,12,145,31,4,Kanban,Mixed,Medium
Cybersecurity Solution,4,349,35,6,Hybrid,Mixed,High
AI / ML Project,13,42,7,6,Kanban,Junior,Medium
Mobile App,28,51,3,4,Scrum,Mixed,Low
E-Commerce Platform,17,62,4,5,Waterfall,Senior,Medium
Mobile App,17,99,31,4,Agile,Senior,Medium
Cloud Migration,6,1098,9,5,Waterfall,Junior,High
CRM System,3,562,15,8,Agile,Junior,High
AI / ML Project,8,119,36,2,Kanban,Mixed,Medium
Web Application,24,51,3,5,Agile,Mixed,Medium
Cloud Migration,4,76,24,9,Scrum,Senior,Medium
IoT Development,15,92,7,6,Waterfall,Junior,High
Cloud Migration,9,139,33,1,Waterfall,Senior,Medium
AI / ML Project,5,136,20,8,Agile,Senior,Medium
AI / ML Project,3,109,29,9,Kanban,Mixed,High
E-Commerce Platform,11,73,16,8,Kanban,Junior,Medium
Cybersecurity Solution,4,33,16,8,Waterfall,Senior,Medium
CRM System,6,149,5,7,Hybrid,Senior,Low
Web Application,12,69,4,7,Waterfall,Mixed,Medium
E-Commerce Platform,6,272,35,5,Hybrid,Junior,High
IoT Development,5,289,21,4,Waterfall,Junior,High
Data Analytics Platform,10,53,28,8,Kanban,Senior,Medium
IoT Development,23,108,12,4,Waterfall,Junior,High
CRM System,4,113,30,4,Waterfall,Senior,Medium
AI / ML Project,6,237,26,6,Waterfall,Mixed,High
Mobile App,6,104,9,4,Scrum,Senior,Low
AI / ML Project,5,115,34,9,Waterfall,Senior,High
CRM System,2,441,29,6,Agile,Mixed,High
Web Application,2,141,6,11,Waterfall,Junior,High
CRM System,17,90,11,5,Kanban,Junior,High
IoT Development,9,598,6,3,Scrum,Mixed,Medium
Cloud Migration,22,115,14,4,Agile,Junior,High
Web Application,3,173,15,7,Waterfall,Junior,High
Cybersecurity Solution,25,723,26,3,Kanban,Mixed,High
Web Application,3,390,25,7,Kanban,Mixed,High
Web Application,9,108,10,5,Scrum,Mixed,Low
ERP Implementation,13,426,7,3,Scrum,Senior,Low
E-Commerce Platform,9,134,15,4,Kanban,Junior,Medium
Mobile App,4,375,20,4,Scrum,Junior,Medium
AI / ML Project,14,98,26,1,Hybrid,Mixed,High
Data Analytics Platform,7,88,32,2,Hybrid,Mixed,Medium
Web Application,5,458,19,7,Agile,Junior,Medium
Mobile App,5,179,19,5,Kanban,Junior,Medium
Data Analytics Platform,16,352,25,8,Scrum,Senior,Medium
Cybersecurity Solution,12,195,18,9,Kanban,Junior,High
Web Application,8,176,28,9,Agile,Junior,Medium
Mobile App,8,81,32,4,Waterfall,Junior,High
CRM System,4,46,12,7,Agile,Mixed,Medium
Web Application,9,268,32,8,Hybrid,Mixed,Medium
AI / ML Project,2,89,19,9,Agile,Mixed,High
ERP Implementation,8,152,19,5,Kanban,Mixed,Medium
CRM System,9,197,8,4,Waterfall,Senior,Medium
Mobile App,11,152,10,3,Waterfall,Mixed,Medium
Cybersecurity Solution,4,65,5,7,Agile,Mixed,Medium
IoT Development,12,143,2,6,Agile,Mixed,Medium
Cloud Migration,5,47,3,5,Hybrid,Senior,Low
Cloud Migration,23,99,25,4,Agile,Senior,Medium
Cloud Migration,6,150,23,8,Hybrid,Senior,Medium
Cybersecurity Solution,19,103,34,4,Kanban,Junior,High
Web Application,5,492,14,1,Hybrid,Mixed,Medium
AI / ML Project,6,35,8,8,Scrum,Mixed,Medium
Mobile App,8,73,21,15,Agile,Junior,Medium
Cybersecurity Solution,7,884,14,6,Agile,Mixed,Medium
Cybersecurity Solution,6,170,14,9,Agile,Junior,High
IoT Development,4,13,27,5,Agile,Junior,Medium
Data Analytics Platform,3,105,5,6,Scrum,Senior,Low
CRM System,10,227,29,7,Waterfall,Junior,High
CRM System,14,328,29,8,Waterfall,Mixed,High
Cloud Migration,6,317,5,2,Kanban,Mixed,Medium
Cloud Migration,7,43,18,4,Waterfall,Junior,High
Cloud Migration,6,745,4,6,Kanban,Mixed,Medium
CRM System,9,81,5,8,Waterfall,Mixed,Medium
E-Commerce Platform,4,226,32,4,Scrum,Junior,Medium
Data Analytics Platform,5,168,33,9,Agile,Mixed,Medium
ERP Implementation,5,239,18,10,Scrum,Senior,Medium
Web Application,10,141,17,8,Hybrid,Junior,Medium
Cybersecurity Solution,29,70,6,6,Hybrid,Junior,High
AI / ML Project,6,293,17,8,Hybrid,Mixed,High
AI / ML Project,4,37,20,2,Agile,Junior,High
IoT Development,6,139,28,8,Kanban,Mixed,High
E-Commerce Platform,9,73,30,5,Waterfall,Junior,High
Cybersecurity Solution,5,143,21,5,Scrum,Senior,Medium
Cloud Migration,13,88,36,5,Kanban,Mixed,Medium
E-Commerce Platform,7,121,16,6,Kanban,Senior,Low
AI / ML Project,4,54,4,8,Kanban,Mixed,Medium
ERP Implementation,15,63,32,6,Scrum,Mixed,Medium
Data Analytics Platform,6,241,27,7,Agile,Junior,High
Cloud Migration,7,103,28,7,Hybrid,Junior,High
Data Analytics Platform,4,77,27,5,Kanban,Mixed,Medium
IoT Development,5,506,27,5,Kanban,Mixed,High
Web Application,7,388,4,2,Kanban,Mixed,Low
IoT Development,3,327,12,5,Hybrid,Senior,Medium
Cloud Migration,17,135,2,7,Kanban,Junior,Medium
Mobile App,9,197,9,8,Hybrid,Senior,Medium
IoT Development,6,224,36,7,Hybrid,Junior,High
CRM System,6,160,5,6,Scrum,Junior,Medium
CRM System,12,165,3,6,Waterfall,Mixed,Medium
Web Application,3,251,3,10,Hybrid,Mixed,Medium
Cybersecurity Solution,8,241,10,5,Agile,Mixed,Medium
Web Application,2,61,25,3,Kanban,Junior,High
Cloud Migration,13,1566,16,7,Kanban,Senior,Medium
IoT Development,4,488,5,6,Waterfall,Mixed,Medium
ERP Implementation,10,118,14,5,Hybrid,Mixed,Medium
Cloud Migration,4,144,4,8,Scrum,Junior,Medium
Data Analytics Platform,3,62,11,7,Agile,Junior,Medium
AI / ML Project,13,200,20,6,Waterfall,Junior,High
Mobile App,6,212,3,11,Waterfall,Junior,Medium
Cybersecurity Solution,12,191,30,5,Scrum,Senior,Medium
IoT Development,5,232,33,6,Waterfall,Senior,High
Data Analytics Platform,14,238,21,6,Waterfall,Senior,High
Cloud Migration,6,124,35,4,Hybrid,Junior,High
IoT Development,2,200,34,6,Kanban,Senior,High
Web Application,24,167,1,5,Kanban,Junior,Medium
IoT Development,18,28,17,6,Waterfall,Junior,High
Cybersecurity Solution,5,112,26,8,Scrum,Junior,High
Cybersecurity Solution,3,58,17,7,Waterfall,Junior,High
Data Analytics Platform,6,299,25,6,Hybrid,Senior,Medium
IoT Development,15,172,23,8,Scrum,Junior,High
E-Commerce Platform,10,247,15,6,Hybrid,Junior,Medium
Web Application,2,151,1,9,Hybrid,Senior,Medium
